task,task_type,router_feature_set,budget,primary_metric,primary_mean,primary_std,primary_mean_std,call_rate_mean,n_seeds
ESOL,regression,oracle,60.0,MAE,0.5340872209982093,0.0020913252224798,0.534087 +/- 0.002091,60.1593625498008,5
ESOL,regression,oracle,80.0,MAE,0.5517974446748832,0.0034771342218738,0.551797 +/- 0.003477,80.0796812749004,5
ESOL,regression,oracle,100.0,MAE,0.5987428289109491,0.0049206179718664,0.598743 +/- 0.004921,100.0,5
ESOL,regression,random,0.0,MAE,0.6019217134369322,0.0115463247949264,0.601922 +/- 0.011546,0.0,5
ESOL,regression,random,5.0,MAE,0.6016878012045446,0.0098308533215865,0.601688 +/- 0.009831,5.179282868525896,5
ESOL,regression,random,10.0,MAE,0.6028047663259316,0.0091970581975137,0.602805 +/- 0.009197,9.9601593625498,5
ESOL,regression,random,20.0,MAE,0.6034204622952588,0.0112016810479001,0.603420 +/- 0.011202,19.9203187250996,5
ESOL,regression,random,40.0,MAE,0.6009790161603951,0.0094464169366252,0.600979 +/- 0.009446,39.8406374501992,5
ESOL,regression,random,60.0,MAE,0.5967074926049586,0.0050147769741338,0.596707 +/- 0.005015,60.1593625498008,5
ESOL,regression,random,80.0,MAE,0.5982898903675763,0.0065428437952368,0.598290 +/- 0.006543,80.0796812749004,5
ESOL,regression,random,100.0,MAE,0.5987428289109491,0.0049206179718664,0.598743 +/- 0.004921,100.0,5
ESOL,regression,uncertainty,0.0,MAE,0.6019217134369322,0.0115463247949264,0.601922 +/- 0.011546,0.0,5
ESOL,regression,uncertainty,5.0,MAE,0.6050480644621221,0.0106764764175981,0.605048 +/- 0.010676,5.179282868525896,5
ESOL,regression,uncertainty,10.0,MAE,0.6058945149866233,0.0080038994815994,0.605895 +/- 0.008004,9.9601593625498,5
ESOL,regression,uncertainty,20.0,MAE,0.6023980270613712,0.0070205510112516,0.602398 +/- 0.007021,19.9203187250996,5
ESOL,regression,uncertainty,40.0,MAE,0.5987212010714164,0.0074894173372582,0.598721 +/- 0.007489,39.8406374501992,5
ESOL,regression,uncertainty,60.0,MAE,0.6030629978719462,0.0070796622195239,0.603063 +/- 0.007080,60.1593625498008,5
ESOL,regression,uncertainty,80.0,MAE,0.59700302233525,0.0064042558747185,0.597003 +/- 0.006404,80.0796812749004,5
ESOL,regression,uncertainty,100.0,MAE,0.5987428289109491,0.0049206179718664,0.598743 +/- 0.004921,100.0,5
ESOL,regression,uncertainty_only,0.0,MAE,0.6019217134369322,0.0115463247949264,0.601922 +/- 0.011546,0.0,5
ESOL,regression,uncertainty_only,5.0,MAE,0.6028911201986183,0.0098720869450196,0.602891 +/- 0.009872,5.179282868525896,5
ESOL,regression,uncertainty_only,10.0,MAE,0.6022798277326789,0.0074973540403231,0.602280 +/- 0.007497,9.9601593625498,5
ESOL,regression,uncertainty_only,20.0,MAE,0.6036855597401044,0.0062556723325596,0.603686 +/- 0.006256,19.9203187250996,5
ESOL,regression,uncertainty_only,40.0,MAE,0.5997783522731279,0.0040599611809763,0.599778 +/- 0.004060,39.8406374501992,5
ESOL,regression,uncertainty_only,60.0,MAE,0.6021137056776251,0.0030509780792386,0.602114 +/- 0.003051,60.1593625498008,5
ESOL,regression,uncertainty_only,80.0,MAE,0.5993902553649538,0.0040405898854763,0.599390 +/- 0.004041,80.0796812749004,5
ESOL,regression,uncertainty_only,100.0,MAE,0.5987428289109491,0.0049206179718664,0.598743 +/- 0.004921,100.0,5
ESOL,regression,uncertainty_support_ood,0.0,MAE,0.6019217134369322,0.0115463247949264,0.601922 +/- 0.011546,0.0,5
